"Population aged 15-74 (LFS), 1000s by labour status, born in Sweden/foreign-born, level of education, sex and year"

"labour status","born in Sweden/foreign-born","level of education","sex","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"employed","born in Sweden","All educational levels","men",1990.5,2030.4,2072.9,2081.1,2020.1,2042.5,2066.5,2056.2,2059.2,2076.0,2092.1,2093.3,2114.4,2122.5,2108.4,2086.1,2081.3,2103.7,2084.6,2078.5
"employed","born in Sweden","All educational levels","women",1785.5,1807.5,1843.2,1852.7,1812.5,1798.6,1838.9,1856.3,1867.8,1875.3,1880.5,1901.6,1914.0,1936.2,1944.5,1894.6,1892.1,1925.5,1930.2,1921.6
"employed","born in Sweden","All educational levels","total",3776.0,3838.0,3916.1,3933.8,3832.6,3841.1,3905.4,3912.4,3927.0,3951.4,3972.6,3994.9,4028.4,4058.7,4052.9,3980.7,3973.4,4029.2,4014.8,4000.1
"employed","born in Sweden","primary and lower secondary education","men",328.5,333.4,323.6,310.6,285.3,281.6,274.5,257.2,242.0,237.3,225.9,205.3,201.0,196.2,192.3,178.9,169.8,169.6,159.8,165.5
"employed","born in Sweden","primary and lower secondary education","women",207.6,201.4,197.0,191.5,175.2,163.5,159.4,152.1,139.9,129.2,122.3,121.9,125.9,119.6,114.4,99.9,97.7,105.9,108.8,103.3
"employed","born in Sweden","primary and lower secondary education","total",536.2,534.8,520.6,502.1,460.5,445.0,433.9,409.3,381.9,366.6,348.2,327.2,326.9,315.8,306.7,278.8,267.5,275.5,268.6,268.8
"employed","born in Sweden","upper secondary education","men",1020.2,1036.9,1060.8,1069.2,1032.5,1035.2,1048.6,1034.5,1025.2,1021.0,1023.9,1014.8,1027.0,1018.4,999.7,982.9,964.3,944.0,915.6,896.8
"employed","born in Sweden","upper secondary education","women",852.3,856.8,868.5,864.4,835.0,817.4,817.6,802.9,790.8,771.6,750.0,736.7,730.4,707.3,679.7,635.2,607.7,592.2,586.6,568.1
"employed","born in Sweden","upper secondary education","total",1872.5,1893.6,1929.2,1933.6,1867.4,1852.6,1866.2,1837.4,1816.0,1792.6,1773.9,1751.5,1757.4,1725.8,1679.4,1618.1,1572.0,1536.1,1502.1,1464.9
"employed","born in Sweden","post secondary education","men",636.8,656.6,684.1,697.3,699.8,724.6,742.7,763.5,791.3,817.1,840.9,872.5,885.4,906.8,914.6,923.0,946.5,989.5,1009.0,1016.3
"employed","born in Sweden","post secondary education","women",722.3,748.2,775.9,795.1,801.0,817.3,861.3,901.0,936.9,974.1,1007.3,1042.2,1056.7,1109.0,1149.8,1159.0,1186.6,1227.2,1234.4,1249.5
"employed","born in Sweden","post secondary education","total",1359.1,1404.8,1460.1,1492.4,1500.7,1542.0,1604.0,1664.5,1728.1,1791.2,1848.2,1914.7,1942.1,2015.8,2064.4,2082.0,2133.1,2216.7,2243.4,2265.8
"employed","born in Sweden","no information about level of educational attainment","men",4.9,3.6,4.4,4.1,2.5,1.1,..,..,..,..,1.3,..,..,..,..,..,..,..,..,..
"employed","born in Sweden","no information about level of educational attainment","women",3.4,1.3,1.8,1.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"employed","born in Sweden","no information about level of educational attainment","total",8.3,4.8,6.3,5.8,3.9,1.5,1.3,1.3,..,..,2.2,..,2.0,..,..,..,..,..,..,..
"employed","foreign-born","All educational levels","men",275.0,285.6,302.5,325.3,323.0,335.7,356.7,371.0,391.4,410.3,421.5,451.1,496.9,527.3,568.1,563.4,589.7,648.0,687.8,665.6
"employed","foreign-born","All educational levels","women",261.0,272.3,289.3,301.4,308.7,313.1,331.0,343.0,353.5,378.6,409.0,428.4,459.4,472.6,471.2,466.5,480.8,521.8,567.4,575.7
"employed","foreign-born","All educational levels","total",536.0,557.9,591.8,626.7,631.7,648.8,687.8,713.9,744.9,788.9,830.5,879.5,956.3,999.9,1039.3,1029.9,1070.5,1169.8,1255.2,1241.2
"employed","foreign-born","primary and lower secondary education","men",53.3,58.1,56.0,58.6,56.1,55.5,57.0,57.1,61.3,62.5,64.0,68.5,77.3,85.6,91.1,86.6,78.0,97.0,102.9,97.4
"employed","foreign-born","primary and lower secondary education","women",41.4,44.9,48.3,47.0,42.6,40.6,42.8,47.8,45.1,48.6,47.6,50.0,54.1,56.9,53.9,50.1,49.2,57.7,54.8,56.3
"employed","foreign-born","primary and lower secondary education","total",94.7,103.0,104.4,105.6,98.7,96.1,99.8,104.9,106.3,111.2,111.6,118.5,131.5,142.4,145.0,136.7,127.2,154.8,157.7,153.6
"employed","foreign-born","upper secondary education","men",126.3,125.4,132.8,140.7,135.3,141.3,150.0,153.3,159.2,160.7,166.0,168.8,178.7,185.3,200.7,202.8,208.7,218.3,222.6,203.9
"employed","foreign-born","upper secondary education","women",115.9,116.9,116.2,119.4,124.4,124.9,129.1,129.9,129.0,133.6,137.0,136.5,144.5,149.1,146.5,140.5,140.8,143.6,150.8,161.1
"employed","foreign-born","upper secondary education","total",242.2,242.3,249.0,260.1,259.7,266.2,279.1,283.2,288.2,294.3,303.1,305.3,323.1,334.4,347.2,343.3,349.5,361.9,373.4,364.9
"employed","foreign-born","post secondary education","men",90.0,97.8,108.0,119.8,126.1,135.2,145.8,157.0,169.1,183.9,183.8,209.5,234.7,248.2,269.7,265.6,295.2,324.3,354.5,354.7
"employed","foreign-born","post secondary education","women",100.4,108.9,122.3,131.9,139.1,145.8,157.8,164.2,178.5,195.4,221.6,240.1,257.3,263.0,266.7,271.1,288.1,316.9,358.7,355.1
"employed","foreign-born","post secondary education","total",190.4,206.7,230.3,251.7,265.2,281.0,303.6,321.2,347.6,379.3,405.4,449.6,492.1,511.3,536.3,536.7,583.3,641.1,713.3,709.8
"employed","foreign-born","no information about level of educational attainment","men",5.4,4.3,5.7,6.2,5.5,3.7,4.0,3.6,1.8,3.2,7.8,4.3,6.1,8.1,6.6,8.5,7.8,8.4,7.8,9.6
"employed","foreign-born","no information about level of educational attainment","women",3.3,1.6,2.4,3.1,2.6,1.8,..,..,..,..,2.7,..,3.5,3.6,..,4.8,..,..,..,..
"employed","foreign-born","no information about level of educational attainment","total",8.7,5.9,8.1,9.3,8.1,5.5,5.3,4.6,2.7,4.2,10.5,6.1,9.6,11.8,10.7,13.3,10.5,12.0,10.8,12.9
"employed","total","All educational levels","men",2265.4,2316.0,2375.5,2406.4,2343.1,2378.2,2423.2,2427.2,2450.6,2486.3,2513.6,2544.4,2611.3,2649.8,2676.5,2649.5,2671.0,2751.7,2772.4,2744.1
"employed","total","All educational levels","women",2046.5,2079.8,2132.5,2154.1,2121.2,2111.8,2170.0,2199.2,2221.3,2254.0,2289.5,2329.9,2373.5,2408.8,2415.7,2361.1,2372.9,2447.3,2497.6,2497.3
"employed","total","All educational levels","total",4312.0,4395.9,4508.0,4560.5,4464.3,4489.9,4593.2,4626.4,4671.9,4740.3,4803.1,4874.4,4984.8,5058.6,5092.2,5010.6,5043.9,5199.0,5270.1,5241.3
"employed","total","primary and lower secondary education","men",381.8,391.5,379.6,369.2,341.4,337.1,331.5,314.3,303.3,299.8,289.9,273.8,278.3,281.8,283.5,265.5,247.8,266.6,262.7,262.9
"employed","total","primary and lower secondary education","women",249.0,246.2,245.3,238.5,217.8,204.1,202.2,199.9,185.0,177.9,169.9,171.9,180.1,176.4,168.3,150.0,146.9,163.6,163.6,159.6
"employed","total","primary and lower secondary education","total",630.9,637.8,624.9,607.7,559.2,541.2,533.7,514.2,488.3,477.7,459.8,445.8,458.4,458.2,451.8,415.5,394.7,430.2,426.3,422.5
"employed","total","upper secondary education","men",1146.5,1162.3,1193.6,1209.9,1167.8,1176.4,1198.6,1187.7,1184.5,1181.7,1190.0,1183.6,1205.6,1203.8,1200.4,1185.6,1172.9,1162.3,1138.1,1100.6
"employed","total","upper secondary education","women",968.2,973.7,984.7,983.8,959.4,942.3,946.7,932.8,919.8,905.2,887.0,873.1,874.9,856.4,826.2,775.7,748.6,735.8,737.4,729.2
"employed","total","upper secondary education","total",2114.7,2135.9,2178.2,2193.7,2127.2,2118.8,2145.2,2120.5,2104.3,2086.8,2077.0,2056.8,2080.5,2060.2,2026.6,1961.3,1921.5,1898.1,1875.6,1829.8
"employed","total","post secondary education","men",726.8,754.4,792.1,817.1,825.9,859.8,888.5,920.5,960.4,1001.0,1024.7,1082.0,1120.1,1155.1,1184.3,1188.6,1241.7,1313.8,1363.6,1371.0
"employed","total","post secondary education","women",822.6,857.1,898.3,927.0,940.0,963.1,1019.2,1065.2,1115.4,1169.5,1228.9,1282.3,1314.1,1372.0,1416.4,1430.1,1474.7,1544.1,1593.1,1604.6
"employed","total","post secondary education","total",1549.5,1611.5,1690.4,1744.0,1765.9,1823.0,1907.7,1985.7,2075.7,2170.5,2253.6,2364.2,2434.2,2527.1,2600.8,2618.6,2716.4,2857.8,2956.7,2975.6
"employed","total","no information about level of educational attainment","men",10.2,7.8,10.1,10.3,8.0,4.8,4.7,4.6,2.5,3.8,9.1,5.0,7.2,9.2,8.4,9.8,8.6,9.1,8.0,9.6
"employed","total","no information about level of educational attainment","women",6.7,2.9,4.3,4.9,4.0,2.2,1.9,..,..,..,3.7,2.6,4.4,4.0,4.7,5.3,..,..,..,..
"employed","total","no information about level of educational attainment","total",16.9,10.7,14.4,15.1,12.0,7.0,6.6,5.9,3.6,5.2,12.8,7.6,11.6,13.1,13.1,15.1,11.3,12.9,11.5,13.5
