"Number in population by employment status, grounds for settlement, number of years in Sweden, region of birth, sex, age and year"

"employment status","grounds for settlement","number of years in Sweden","region of birth","sex","age","2020","2021","2022","2023"
"total","refugees/persons in need of subsidiary protection/relatives ","4-9 years","unknown","total","30-39 years",74,70,60,45
"total","refugees/persons in need of subsidiary protection/relatives ","4-9 years","unknown","total","40-49 years",39,38,39,37
"total","refugees/persons in need of subsidiary protection/relatives ","4-9 years","unknown","total","50-59 years",16,19,22,19
"total","refugees/persons in need of subsidiary protection/relatives ","4-9 years","unknown","total","60-64 years",3,3,4,6
"total","refugees/persons in need of subsidiary protection/relatives ","4-9 years","unknown","total","65-69 years",3,4,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","4-9 years","unknown","total","70-74 years",0,3,4,5
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","total","total","total",352337,364291,379500,404979
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","total","total","20-24 years",18255,18141,18615,21771
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","total","total","25-29 years",28773,28421,29538,32869
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","total","total","30-39 years",83745,86781,88536,91286
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","total","total","40-49 years",72412,75431,79875,86981
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","total","total","50-59 years",81790,82188,82745,84536
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","total","total","60-64 years",33941,35923,38519,41093
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","total","total","65-69 years",21534,24162,26714,29421
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","total","total","70-74 years",11884,13247,14955,17019
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","total",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","20-24 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","25-29 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","30-39 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","40-49 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","50-59 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","60-64 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","65-69 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Sweden","total","70-74 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","total",104022,103631,103173,102672
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","20-24 years",2585,2310,1982,1738
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","25-29 years",6615,4679,3556,3313
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","30-39 years",26148,26567,26119,24546
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","40-49 years",20159,20427,20797,21451
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","50-59 years",24657,24184,23655,23044
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","60-64 years",11509,11884,12369,12658
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","65-69 years",8022,8855,9383,9941
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Europe, excl. Sweden","total","70-74 years",4323,4727,5315,5981
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","total",50050,54930,60797,71063
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","20-24 years",4119,4441,5316,7814
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","25-29 years",5078,5576,6324,8537
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","30-39 years",13531,15126,16120,17683
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","40-49 years",11938,13111,14613,16691
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","50-59 years",10579,11250,12028,12979
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","60-64 years",2737,2983,3595,4046
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","65-69 years",1304,1553,1741,2122
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Africa","total","70-74 years",762,884,1056,1192
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","total",179397,186992,196851,212603
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","20-24 years",11228,11103,11042,11926
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","25-29 years",16558,17713,19220,20586
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","30-39 years",40498,41756,43276,46373
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","40-49 years",36861,38324,40755,44930
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","50-59 years",41638,42116,42638,44346
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","60-64 years",16813,18111,19618,21390
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","65-69 years",10201,11546,13204,14874
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","Asia","total","70-74 years",5604,6325,7094,8174
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","total",18724,18584,18525,18475
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","20-24 years",300,270,253,276
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","25-29 years",494,422,412,413
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","30-39 years",3537,3298,2984,2644
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","40-49 years",3409,3515,3659,3851
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","50-59 years",4900,4619,4406,4152
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","60-64 years",2883,2937,2934,2995
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","65-69 years",2012,2200,2385,2485
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","rest of the world, incl. Soviet Union","total","70-74 years",1190,1310,1485,1663
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","total",143,161,157,165
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","20-24 years",18,15,18,20
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","25-29 years",23,31,22,18
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","30-39 years",28,31,38,45
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","40-49 years",50,52,50,50
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","50-59 years",20,19,19,16
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","60-64 years",3,3,4,5
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","65-69 years",0,3,3,3
"total","refugees/persons in need of subsidiary protection/relatives ","10- years","unknown","total","70-74 years",4,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","total",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","20-24 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","25-29 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","30-39 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","40-49 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","50-59 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","60-64 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","65-69 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","total","total","70-74 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","total",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","20-24 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","25-29 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","30-39 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","40-49 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","50-59 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","60-64 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","65-69 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Sweden","total","70-74 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","total",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","20-24 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","25-29 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","30-39 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","40-49 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","50-59 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","60-64 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","65-69 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Europe, excl. Sweden","total","70-74 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","total",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","20-24 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","25-29 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","30-39 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","40-49 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","50-59 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","60-64 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","65-69 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Africa","total","70-74 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","total",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","20-24 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","25-29 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","30-39 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","40-49 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","50-59 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","60-64 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","65-69 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","Asia","total","70-74 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","total",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","20-24 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","25-29 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","30-39 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","40-49 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","50-59 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","60-64 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","65-69 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","rest of the world, incl. Soviet Union","total","70-74 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","total",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","20-24 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","25-29 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","30-39 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","40-49 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","50-59 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","60-64 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","65-69 years",0,0,0,0
"total","refugees/persons in need of subsidiary protection/relatives ","data not available","unknown","total","70-74 years",0,0,0,0
"total","other/GFS not relevant","total","total","total","total",5393428,5371550,5350700,5330774
"total","other/GFS not relevant","total","total","total","20-24 years",427278,425241,431536,441242
"total","other/GFS not relevant","total","total","total","25-29 years",535358,509153,479467,454208
"total","other/GFS not relevant","total","total","total","30-39 years",981439,1007452,1030113,1047251
"total","other/GFS not relevant","total","total","total","40-49 years",997556,982187,965623,948471
"total","other/GFS not relevant","total","total","total","50-59 years",1058280,1070370,1078281,1078514
"total","other/GFS not relevant","total","total","total","60-64 years",465053,463396,465110,472946
"total","other/GFS not relevant","total","total","total","65-69 years",451420,451965,451085,449463
"total","other/GFS not relevant","total","total","total","70-74 years",477039,461778,449481,438680
"total","other/GFS not relevant","total","Sweden","total","total",5241907,5210428,5184872,5163173
"total","other/GFS not relevant","total","Sweden","total","20-24 years",421067,418854,425403,435584
"total","other/GFS not relevant","total","Sweden","total","25-29 years",527276,499791,470023,445329
"total","other/GFS not relevant","total","Sweden","total","30-39 years",949163,975241,999560,1018680
"total","other/GFS not relevant","total","Sweden","total","40-49 years",936354,918435,901031,884671
"total","other/GFS not relevant","total","Sweden","total","50-59 years",1027417,1035409,1039353,1035825
"total","other/GFS not relevant","total","Sweden","total","60-64 years",458215,455815,456549,463337
"total","other/GFS not relevant","total","Sweden","total","65-69 years",447534,447523,446145,444021
"total","other/GFS not relevant","total","Sweden","total","70-74 years",474889,459354,446803,435729
"total","other/GFS not relevant","total","Europe, excl. Sweden","total","total",66604,72990,75215,76206
"total","other/GFS not relevant","total","Europe, excl. Sweden","total","20-24 years",2611,2822,2716,2511
"total","other/GFS not relevant","total","Europe, excl. Sweden","total","25-29 years",3386,4395,4277,4015
"total","other/GFS not relevant","total","Europe, excl. Sweden","total","30-39 years",14796,15563,14990,14214
"total","other/GFS not relevant","total","Europe, excl. Sweden","total","40-49 years",26080,27861,28556,28554
"total","other/GFS not relevant","total","Europe, excl. Sweden","total","50-59 years",12684,14564,16241,17807
"total","other/GFS not relevant","total","Europe, excl. Sweden","total","60-64 years",3349,3663,4044,4459
"total","other/GFS not relevant","total","Europe, excl. Sweden","total","65-69 years",2201,2477,2675,2834
"total","other/GFS not relevant","total","Europe, excl. Sweden","total","70-74 years",1492,1643,1721,1820
"total","other/GFS not relevant","total","Africa","total","total",16867,17455,17807,18046
"total","other/GFS not relevant","total","Africa","total","20-24 years",594,580,575,513
"total","other/GFS not relevant","total","Africa","total","25-29 years",799,818,829,825
"total","other/GFS not relevant","total","Africa","total","30-39 years",3417,3298,3014,2773
"total","other/GFS not relevant","total","Africa","total","40-49 years",7570,7663,7563,7411
"total","other/GFS not relevant","total","Africa","total","50-59 years",3748,4224,4794,5288
"total","other/GFS not relevant","total","Africa","total","60-64 years",468,541,656,808
"total","other/GFS not relevant","total","Africa","total","65-69 years",202,245,267,314
"total","other/GFS not relevant","total","Africa","total","70-74 years",72,90,112,117
"total","other/GFS not relevant","total","Asia","total","total",54597,56700,58695,59312
"total","other/GFS not relevant","total","Asia","total","20-24 years",2440,2470,2385,2279
"total","other/GFS not relevant","total","Asia","total","25-29 years",3208,3362,3574,3350
"total","other/GFS not relevant","total","Asia","total","30-39 years",11839,11233,10548,9693
"total","other/GFS not relevant","total","Asia","total","40-49 years",22198,22832,23252,22900
"total","other/GFS not relevant","total","Asia","total","50-59 years",11123,12459,13874,15321
"total","other/GFS not relevant","total","Asia","total","60-64 years",2324,2589,2945,3287
"total","other/GFS not relevant","total","Asia","total","65-69 years",1094,1305,1520,1761
"total","other/GFS not relevant","total","Asia","total","70-74 years",369,448,597,727
"total","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","total",13400,13912,14042,13974
"total","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","20-24 years",568,512,455,361
"total","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","25-29 years",684,774,760,690
"total","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","30-39 years",2215,2102,1985,1881
"total","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","40-49 years",5335,5375,5202,4911
"total","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","50-59 years",3300,3693,4005,4257
"total","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","60-64 years",695,788,913,1056
"total","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","65-69 years",391,419,477,531
"total","other/GFS not relevant","total","rest of the world, incl. Soviet Union","total","70-74 years",220,241,247,292
"total","other/GFS not relevant","total","unknown","total","total",52,63,61,59
"total","other/GFS not relevant","total","unknown","total","20-24 years",3,3,0,0
"total","other/GFS not relevant","total","unknown","total","25-29 years",7,13,6,4
"total","other/GFS not relevant","total","unknown","total","30-39 years",11,13,14,13
"total","other/GFS not relevant","total","unknown","total","40-49 years",16,18,15,18
"total","other/GFS not relevant","total","unknown","total","50-59 years",11,15,14,17
"total","other/GFS not relevant","total","unknown","total","60-64 years",3,3,5,5
"total","other/GFS not relevant","total","unknown","total","65-69 years",0,3,4,5
"total","other/GFS not relevant","total","unknown","total","70-74 years",3,0,0,0
"total","other/GFS not relevant","born in Sweden","total","total","total",5241907,5210428,5184872,5163173
"total","other/GFS not relevant","born in Sweden","total","total","20-24 years",421067,418854,425403,435584
"total","other/GFS not relevant","born in Sweden","total","total","25-29 years",527276,499791,470023,445329
"total","other/GFS not relevant","born in Sweden","total","total","30-39 years",949163,975241,999560,1018680
"total","other/GFS not relevant","born in Sweden","total","total","40-49 years",936354,918435,901031,884671
"total","other/GFS not relevant","born in Sweden","total","total","50-59 years",1027417,1035409,1039353,1035825
"total","other/GFS not relevant","born in Sweden","total","total","60-64 years",458215,455815,456549,463337
"total","other/GFS not relevant","born in Sweden","total","total","65-69 years",447534,447523,446145,444021
"total","other/GFS not relevant","born in Sweden","total","total","70-74 years",474889,459354,446803,435729
"total","other/GFS not relevant","born in Sweden","Sweden","total","total",5241907,5210428,5184872,5163173
"total","other/GFS not relevant","born in Sweden","Sweden","total","20-24 years",421067,418854,425403,435584
"total","other/GFS not relevant","born in Sweden","Sweden","total","25-29 years",527276,499791,470023,445329
"total","other/GFS not relevant","born in Sweden","Sweden","total","30-39 years",949163,975241,999560,1018680
"total","other/GFS not relevant","born in Sweden","Sweden","total","40-49 years",936354,918435,901031,884671
"total","other/GFS not relevant","born in Sweden","Sweden","total","50-59 years",1027417,1035409,1039353,1035825
"total","other/GFS not relevant","born in Sweden","Sweden","total","60-64 years",458215,455815,456549,463337
"total","other/GFS not relevant","born in Sweden","Sweden","total","65-69 years",447534,447523,446145,444021
"total","other/GFS not relevant","born in Sweden","Sweden","total","70-74 years",474889,459354,446803,435729
"total","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","total",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","20-24 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","25-29 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","30-39 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","40-49 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","50-59 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","60-64 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","65-69 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Europe, excl. Sweden","total","70-74 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Africa","total","total",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Africa","total","20-24 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Africa","total","25-29 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Africa","total","30-39 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Africa","total","40-49 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Africa","total","50-59 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Africa","total","60-64 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Africa","total","65-69 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Africa","total","70-74 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Asia","total","total",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Asia","total","20-24 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Asia","total","25-29 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Asia","total","30-39 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Asia","total","40-49 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Asia","total","50-59 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Asia","total","60-64 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Asia","total","65-69 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","Asia","total","70-74 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","total",0,0,0,0
"total","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","20-24 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","25-29 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","30-39 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","40-49 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","50-59 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","60-64 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","65-69 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","rest of the world, incl. Soviet Union","total","70-74 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","unknown","total","total",0,0,0,0
"total","other/GFS not relevant","born in Sweden","unknown","total","20-24 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","unknown","total","25-29 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","unknown","total","30-39 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","unknown","total","40-49 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","unknown","total","50-59 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","unknown","total","60-64 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","unknown","total","65-69 years",0,0,0,0
"total","other/GFS not relevant","born in Sweden","unknown","total","70-74 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","total","total","total",10987,15408,14675,12092
"total","other/GFS not relevant","0-3 years","total","total","20-24 years",859,1289,1220,981
"total","other/GFS not relevant","0-3 years","total","total","25-29 years",1470,2404,2246,1632
"total","other/GFS not relevant","0-3 years","total","total","30-39 years",4024,5651,5139,4141
"total","other/GFS not relevant","0-3 years","total","total","40-49 years",3356,4196,4129,3549
"total","other/GFS not relevant","0-3 years","total","total","50-59 years",1059,1476,1542,1426
"total","other/GFS not relevant","0-3 years","total","total","60-64 years",131,222,226,204
"total","other/GFS not relevant","0-3 years","total","total","65-69 years",66,115,107,98
"total","other/GFS not relevant","0-3 years","total","total","70-74 years",19,54,64,59
"total","other/GFS not relevant","0-3 years","Sweden","total","total",0,0,0,0
"total","other/GFS not relevant","0-3 years","Sweden","total","20-24 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","Sweden","total","25-29 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","Sweden","total","30-39 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","Sweden","total","40-49 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","Sweden","total","50-59 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","Sweden","total","60-64 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","Sweden","total","65-69 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","Sweden","total","70-74 years",0,0,0,0
"total","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","total",2983,5937,5062,3773
"total","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","20-24 years",234,450,321,201
"total","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","25-29 years",435,1149,925,600
"total","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","30-39 years",1118,2219,1829,1342
"total","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","40-49 years",781,1303,1165,913
"total","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","50-59 years",320,574,586,507
"total","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","60-64 years",50,134,140,108
"total","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","65-69 years",30,76,61,51
"total","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","70-74 years",12,33,38,45
"total","other/GFS not relevant","0-3 years","Africa","total","total",1688,1833,1677,1479
"total","other/GFS not relevant","0-3 years","Africa","total","20-24 years",79,85,102,95
"total","other/GFS not relevant","0-3 years","Africa","total","25-29 years",180,203,213,191
"total","other/GFS not relevant","0-3 years","Africa","total","30-39 years",586,697,606,503
"total","other/GFS not relevant","0-3 years","Africa","total","40-49 years",619,618,552,497
"total","other/GFS not relevant","0-3 years","Africa","total","50-59 years",203,205,192,167
"total","other/GFS not relevant","0-3 years","Africa","total","60-64 years",8,11,5,13
"total","other/GFS not relevant","0-3 years","Africa","total","65-69 years",3,3,5,7
"total","other/GFS not relevant","0-3 years","Africa","total","70-74 years",0,3,5,3
"total","other/GFS not relevant","0-3 years","Asia","total","total",5925,6960,7318,6435
"total","other/GFS not relevant","0-3 years","Asia","total","20-24 years",485,689,733,648
"total","other/GFS not relevant","0-3 years","Asia","total","25-29 years",789,909,991,776
"total","other/GFS not relevant","0-3 years","Asia","total","30-39 years",2200,2504,2475,2137
